gene	description	category	chrom	strand	gene_length	n_junctions	max_abs_dpsi	comparisons	events	n_neuro_go	n_go	neuro_terms
LARP7	La ribonucleoprotein 7, transcriptional regulator	other	chr4	+	20620	1	0.156	0hr->6hr	alt 3'ss (A3SS)	0	22	""
OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1	other	chr11	+	15959	1	0.156	0hr->6hr	alt 3'ss (A3SS)	0	15	""
PDCD10	programmed cell death 10	other	chr3	-	51643	1	0.156	1hr->6hr	alt 3'ss (A3SS)	0	35	""
SEMA6D	semaphorin 6D	neuronal (weak annotation)	chr15	+	590242	2	0.156	1hr->6hr	alt 3'ss (A3SS)	3	16	axon guidance; negative regulation of axon extension involved in axon guidance; neural crest cell migration
THYN1	thymocyte nuclear protein 1	other	chr11	-	5129	1	0.156	1hr->6hr	alt 3'ss (A3SS)	0	1	""
CEPT1	choline/ethanolamine phosphotransferase 1	other	chr1	+	45745	1	0.155	0hr->6hr	alt 5'ss (A5SS)	0	12	""
FBXO42	F-box protein 42	other	chr1	-	105641	2	0.155	0hr->6hr	alt 5'ss (A5SS)	0	3	""
SLC35E3	solute carrier family 35 member E3	other	chr12	+	47840	1	0.155	1hr->6hr	alt 3'ss (A3SS)	0	8	""
ZFAND6	zinc finger AN1-type containing 6	other	chr15	+	78826	1	0.155	0hr->6hr	alt 5'ss (A5SS)	0	12	""
ACIN1	apoptotic chromatin condensation inducer 1	other	chr14	-	37051	1	0.154	0hr->6hr	alt 3'ss (A3SS)	0	16	""
CD200	CD200 molecule	neuronal	chr3	+	30466	1	0.154	0hr->6hr	alt 3'ss (A3SS)	4	30	axon; negative regulation of neuron death; neuron projection; neuronal cell body
CFAP410	cilia and flagella associated protein 410	other	chr21	-	10468	2	0.154	0hr->6hr	alt 3'ss (A3SS)	0	15	""
ENSG00000240401		other	chr2	+	94685	2	0.154	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	0	""
MARCHF7	membrane associated ring-CH-type finger 7	other	chr2	+	58607	1	0.154	1hr->6hr	alt 5'ss (A5SS)	0	20	""
NAV1	neuron navigator 1	neuronal (weak annotation)	chr1	+	287849	2	0.154	1hr->6hr	alt 3'ss (A3SS)	2	7	axon initial segment; neuron migration
PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta	other	chr10	+	58880	1	0.154	0hr->6hr	alt 5'ss (A5SS)	0	8	""
TMX3	thioredoxin related transmembrane protein 3	other	chr18	-	41492	1	0.154	0hr->6hr	alt 5'ss (A5SS)	0	10	""
VPS53	VPS53 subunit of GARP complex	other	chr17	-	213215	1	0.154	0hr->6hr	alt 3'ss (A3SS)	0	15	""
BTBD10	BTB domain containing 10	neuronal (weak annotation)	chr11	-	75290	1	0.153	0hr->6hr	alt 3'ss (A3SS)	1	7	negative regulation of neuron death
DICER1	dicer 1, ribonuclease III	neuronal (weak annotation)	chr14	-	71783	1	0.153	0hr->6hr	alt 5'ss (A5SS)	2	40	nerve development; neuron projection morphogenesis
ERCC6L2-AS1	ERCC6L2 antisense RNA 1	other	chr9	-	116819	1	0.153	1hr->6hr	alt 3'ss (A3SS)	0	0	""
PDE4DIP	phosphodiesterase 4D interacting protein	other	chr1	+	240147	1	0.153	1hr->6hr	alt 5'ss (A5SS)	0	12	""
ARID5B	AT-rich interaction domain 5B	other	chr10	+	195874	1	0.152	0hr->1hr	alt 5'ss (A5SS)	0	30	""
DOP1A	DOP1 leucine zipper like protein A	other	chr6	+	103685	1	0.152	1hr->6hr	alt 3'ss (A3SS)	0	6	""
FGF9	fibroblast growth factor 9	other	chr13	+	33426	1	0.152	1hr->6hr	alt 5'ss (A5SS)	0	53	""
RBM4	RNA binding motif protein 4	other	chr11	+	29708	1	0.152	0hr->6hr	alt 3'ss (A3SS)	0	37	""
SLC25A35	solute carrier family 25 member 35	other	chr17	-	7638	1	0.152	1hr->6hr	alt 5'ss (A5SS)	0	2	""
ST7	suppression of tumorigenicity 7	other	chr7	+	276939	1	0.152	0hr->6hr	alt 3'ss (A3SS)	0	3	""
ATP2C1	ATPase secretory pathway Ca2+ transporting 1	other	chr3	+	166118	1	0.151	0hr->1hr	alt 5'ss (A5SS)	0	30	""
CAMK2G	calcium/calmodulin dependent protein kinase II gamma	neuronal (weak annotation)	chr10	-	62115	1	0.151	1hr->6hr	alt 5'ss (A5SS)	2	23	neuron projection; regulation of neuron projection development
CXXC4	CXXC finger protein 4	other	chr4	-	26723	1	0.151	0hr->6hr	alt 5'ss (A5SS)	0	9	""
NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	other	chr15	-	22186	1	0.151	0hr->6hr	alt 5'ss (A5SS)	0	12	""
TPM3	tropomyosin 3	other	chr1	-	39341	1	0.151	0hr->6hr	alt 3'ss (A3SS)	0	12	""
TRMU	tRNA mitochondrial 2-thiouridylase	other	chr22	+	26466	1	0.151	0hr->6hr	alt 3'ss (A3SS)	0	5	""
TXNL4A	thioredoxin like 4A	other	chr18	-	63137	1	0.15	0hr->6hr	alt 3'ss (A3SS)	0	14	""
